M A M J	J
makes me think that	the I it you
makes me very happy	to
makes me want to	cry go be do puke throw get scream vomit
makes me what I	am
makes me wonder if	I
makes more efficient use	of
makes more sense in	the
makes more sense than	the
makes more sense to	use me think
makes most of the	decisions
makes much more sense	to than
makes much of the	fact
makes much the same	point
makes much use of	the
makes my blood boil	to
makes my blood run	cold
makes my hair stand	on
makes my heart ache	to
makes no allowance for	the
makes no allusion to	the
makes no alteration in	the
makes no appeal to	the
makes no assumption about	the
makes no assumptions about	the
makes no attempt to	explain conceal hide be define disguise show give provide do deal
makes no bones about	it the his
makes no change in	the
makes no claim that	the
makes no claim to	be being completeness have
makes no clear distinction	between
makes no comment on	the
makes no concessions to	the
makes no contribution to	the
makes no difference as	to
makes no difference at	all
makes no difference between	the
makes no difference for	the
makes no difference how	many the much
makes no difference if	the you
makes no difference in	the this what
makes no difference that	the
makes no difference to	the me him us them you our this a
makes no difference what	the you
makes no difference where	the
makes no difference whether	the we it you a he or they one this I
makes no difference which	of
makes no direct reference	to
makes no distinction as	to
makes no distinction between	the a them
makes no effort to	conceal hide
makes no explicit mention	of
makes no explicit reference	to
makes no expressed or	implied
makes no further mention	of
makes no impression on	the
makes no mention at	all
makes no mention in	his
makes no mention of	the any this it a his them such these him an her either
makes no mention whatever	of
makes no mention whatsoever	of
makes no more sense	than to
makes no part of	the
makes no pretence of	being
makes no pretence to	be
makes no pretense of	being
makes no provision for	the a such
makes no reference at	all
makes no reference to	the any a this it his
makes no reference whatever	to
makes no reference whatsoever	to
makes no religious demands	on
makes no representation or	warranties warranty
makes no representations or	warranties
makes no secret of	his the it its her
makes no sense at	all
makes no sense for	the a
makes no sense in	the
makes no sense to	say speak me ask talk try have think use suppose the
makes no sense unless	it
makes no serious attempt	to
makes no show To	move
makes no specific mention	of
makes no specific reference	to
makes no use of	the it
makes no warranty or	representation
makes not the slightest	difference
makes one aware of	the
makes one feel as	if
makes one feel that	the
makes one of his	characters
makes one of the	most best
makes one shudder to	think
makes one suspect that	the
makes one think of	the a
makes one think that	the
makes one wonder about	the
makes one wonder if	the
makes one wonder whether	the
makes only a small	contribution
makes only passing reference	to
makes or causes to	be
makes or opposes a	motion
makes out a case	for
makes out a good	case
makes out a prima	facie
makes out a strong	case
makes perfect sense to	me
makes perfectly good sense	to
makes plain that there	is
makes possible the achievement	of
makes possible the application	of
makes possible the calculation	of
makes possible the construction	of
makes possible the creation	of
makes possible the determination	of
makes possible the development	of
makes possible the establishment	of
makes possible the existence	of
makes possible the formation	of
makes possible the identification	of
makes possible the production	of
makes possible the realization	of
makes possible the study	of
makes possible the use	of
makes reading a pure	pleasure
makes reference to the	fact
makes sense except in	the
makes sense for them	to
makes sense for us	to
makes sense for you	to
makes sense if it	is
makes sense if you	think
makes sense in light	of
makes sense in relation	to
makes sense in terms	of
makes sense in the	context sentence light
makes sense in this	context
makes sense of the	world
makes sense only as	a
makes sense only if	the we it one you
makes sense only in	the a terms
makes sense only when	the
makes sense out of	the
makes sense to ask	whether
makes sense to assume	that
makes sense to consider	the
makes sense to distinguish	between
makes sense to do	so
makes sense to focus	on
makes sense to have	a
makes sense to look	at for
makes sense to me	that
makes sense to say	that
makes sense to speak	of
makes sense to start	with
makes sense to suppose	that
makes sense to talk	about of
makes sense to think	of that
makes sense to try	to
makes sense to use	the a
makes sense to you	and
makes sense when it	is
makes sense when you	consider think
makes several references to	the
makes short work of	the
makes so much of	the
makes some contribution to	the
makes special mention of	the
makes special provision for	the
makes specific reference to	the
makes sure that all	the
makes sure that there	is
makes the acquaintance of	the a
makes the action of	the
makes the analysis of	the
makes the application of	the
makes the argument that	the
makes the assumption that	the
makes the best of	it the a his
makes the best use	of
makes the blood run	cold
makes the case for	the a
makes the case that	the
makes the circuit of	the
makes the claim that	the
makes the code easier	to
makes the connection between	the
makes the decision as	to
makes the determination of	the
makes the development of	a
makes the difference between	a the success an
makes the difference in	the
makes the difference is	the
makes the distinction between	the
makes the existence of	the
makes the final decision	on to about
makes the following comment	on
makes the following comments	on
makes the following entry	in
makes the following observation	about
makes the following observations	on
makes the following reference	to
makes the following remarks	on
makes the following rules	further
makes the following statement	in about
makes the further point	that
makes the greatest contribution	to
makes the heart beat	faster
makes the heart grow	fonder
makes the history of	the
makes the idea of	a
makes the identification of	the
makes the important distinction	between
makes the important observation	that
makes the important point	that
makes the impression of	a
makes the interesting observation	that
makes the interesting point	that
makes the interesting suggestion	that
makes the interpretation of	the
makes the job of	the
makes the largest contribution	to
makes the life of	the
makes the meaning of	the
makes the mistake of	thinking
makes the most efficient	use
makes the most of	the it his its this a them
makes the most sense	to for in
makes the nature of	the
makes the nearest approach	to
makes the point even	more
makes the point that	the it in there a this if we
makes the position of	the
makes the present value	of
makes the problem of	the
makes the question of	the
makes the reader aware	of
makes the reader feel	that
makes the relationship between	the
makes the rest of	the us
makes the role of	the
makes the round of	the
makes the rounds of	the
makes the same angle	with
makes the same kind	of
makes the same mistake	as
makes the same point	in about when as with
makes the same sort	of
makes the sign of	the
makes the situation even	more
makes the statement that	the
makes the structure of	the
makes the study of	the
makes the suggestion that	the
makes the sum of	the
makes the surface of	the
makes the task of	the
makes the transition from	the
makes the transition to	the
makes the use of	the a
makes the valid point	that
makes the value of	the
makes the wheels go	round
makes the whole of	the
makes the whole world	kin
makes the work of	the
makes the world a	better
makes the world go	round around
makes the wrath of	man
makes them a part	of
makes them all the	more
makes them appear to	be
makes them available to	the
makes them aware of	the
makes them different from	the
makes them feel good	about
makes them feel that	they
makes them less likely	to
makes them more difficult	to
makes them more likely	to
makes them more or	less
makes them more prone	to
makes them more susceptible	to
makes them more vulnerable	to
makes them one of	the
makes them out to	be
makes them part of	the
makes them particularly suitable	for
makes them particularly vulnerable	to
makes them very difficult	to
makes them what they	are
makes this all the	more
makes this clear in	his the
makes this clear when	he
makes this one of	the
makes this part of	the
makes this point in	his the a
makes this point when	he
makes this possible is	the
makes thy love more	strong
makes too much of	the
makes two blades of	grass
makes up a large	part
makes up a part	of
makes up for all	the
makes up for it	by in with
makes up for the	lack loss deficiency
makes up for this	by
makes up her mind	to
makes up his mind	to that
makes up his own	mind
makes up its mind	to
makes up more than	half
makes up most of	the
makes up much of	the
makes up one of	the
makes up only a	small
makes up part of	the
makes up the body	of
makes up the bulk	of
makes up the core	of
makes up the difference	between
makes up the greater	part
makes up the life	of
makes up the majority	of
makes up the rest	of
makes us acquainted with	the
makes us all the	more
makes us aware of	the our a
makes us aware that	we the
makes us believe that	the
makes us conscious of	the
makes us feel as	if
makes us feel that	we the
makes us more aware	of
makes us rather bear	those
makes us realize that	the
makes us think of	the a
makes us think that	the we
makes us what we	are
makes us who we	are
makes use of a	number variety special similar
makes use of all	the
makes use of both	the
makes use of it	in to as
makes use of one	of
makes use of some	of
makes use of the	fact same following concept word principle term notion most idea expression information
makes use of them	to in
makes very little difference	to whether in
makes very little use	of
makes with respect to	the
makes with the axis	of
makes with the direction	of
makes with the horizontal	plane is
makes with the line	of
makes with the normal	to
makes with the plane	of
makes with the x	axis
makes you feel any	better
makes you feel as	if though
makes you feel better	about
makes you feel good	about to
makes you feel like	you a
makes you feel that	you way
makes you look like	a
makes you so sure	that of I
makes you think I	want have would can do am will was
makes you think he	is
makes you think it	was is
makes you think of	the a
makes you think that	I you the
makes you think you	can are have know
makes you want to	go do be cry get
makes you what you	are
makes you who you	are
makest a dinner or	a
makest me dwell in	safety
maketh His sun to	rise
maketh an atonement for	the
maketh even his enemies	to
maketh fire come down	from
maketh glad the heart	of
maketh haste to be	rich
maketh his son or	his
maketh his sun to	rise
maketh increase of the	body
maketh intercession for the	saints
maketh intercession for us	with
maketh it bring forth	and
maketh me to lie	down
maketh the clouds his	chariot
maketh the storm a	calm
maketh thee to differ	from
maketh wars to cease	unto
making English the official	language
making God the author	of
making Himself equal with	God
making a Type I	error
making a Type II	error
making a bad situation	worse
making a beeline for	the
making a better life	for
making a bid for	the
making a big deal	out about of
making a big fuss	over
making a big show	of
making a bit of	a
making a book available	for
making a breach in	the
making a break for	it
making a career in	the
making a career out	of
making a careful examination	of
making a careful study	of
making a case for	the a
making a certain number	of
making a change in	the
making a choice between	the two
making a circuit of	the
making a clean break	with
making a clean breast	of
making a clean sweep	of
making a clear distinction	between
making a close study	of
making a collection of	the
making a comeback in	the
making a commitment to	the a
making a comparative study	of
making a comparison between	the
making a comparison of	the
making a comparison with	the
making a complete fool	of
making a concerted effort	to
making a connection between	the
making a connection with	the
making a conscious decision	to
making a conscious effort	to
making a contract with	the
making a contribution to	the society a
making a copy of	the a it
making a cup of	tea coffee
making a dash for	the
making a deal with	the
making a decision about	the whether a what
making a decision as	to
making a decision based	on
making a decision in	the
making a decision on	the whether a
making a deep impression	on
making a deliberate effort	to
making a dent in	the
making a desperate attempt	to
making a desperate effort	to
making a detailed analysis	of
making a detailed study	of
making a determination as	to
making a determination of	the
making a determined effort	to
making a detour to	the
making a diagnosis of	the
making a difference in	the their
making a difference to	the
making a direct appeal	to
making a direct contribution	to
making a distinction between	the a
making a donation or	leaving
making a drawing of	the
making a fair copy	of
making a false statement	in
making a few observations	on
making a few phone	calls
making a few remarks	on
making a film about	the
making a final decision	on about
making a fire in	the
making a fool of	himself myself yourself herself me him you the her oneself
making a fool out	of
making a fortune in	the
making a fortune out	of
making a fresh start	in
making a fuss about	it nothing
making a game of	it
making a game out	of
making a genuine effort	to
making a gift of	the
making a gift to	the
making a go of	it
making a good deal	of
making a good faith	effort
making a good first	impression
making a good impression	on
making a good job	of
making a good thing	out
making a good use	of
making a grand total	of
making a great contribution	to
making a great deal	of
making a great effort	to
making a great fuss	about
making a great mistake	in
making a great noise	in
making a great number	of
making a great show	of
making a hell of	a
making a hole in	the
making a joke of	it the
making a joke out	of
making a journey to	the
making a judgment about	the
making a judgment as	to
making a large number	of
making a last effort	to
making a list of	the all things what
making a living as	a
making a living from	the
making a living in	the a
making a living on	the
making a living out	of
making a loan to	the
making a lot more	money
making a lot of	money noise sense fuss
making a major contribution	to
making a major effort	to
making a man of	him
making a map of	the
making a mark on	the
making a mental list	of
making a mental note	to of
making a mess of	things it the
making a mistake in	the
making a mockery of	the
making a model of	the
making a more or	less
making a mountain out	of
making a name for	himself themselves herself itself
making a new kind	of
making a new life	for
making a night of	it
making a noise in	the
making a noise like	a the
making a note of	the
making a nuisance of	himself themselves myself herself
making a pact with	the
making a pair of	shoes
making a part of	the
making a pass at	her
making a phone call	to
making a pilgrimage to	the Mecca
making a place for	himself themselves
making a plea for	the
making a point about	the
making a positive contribution	to
making a positive difference	in
making a pot of	coffee
making a profit for	the
making a profit from	the
making a profit on	the
making a profit out	of
making a proper use	of
making a provision for	the
making a public profession	of
making a public spectacle	of
making a real contribution	to
making a real effort	to
making a recommendation to	the
making a record of	the
making a reference to	the
making a report to	the
making a representation against	the
making a right use	of
making a round of	the
making a run for	it the
making a section of	the
making a selection from	the
making a separate peace	with
making a serious attempt	to
making a serious effort	to
making a sharp distinction	between
making a sign to	the
making a significant contribution	to
making a significant impact	on
making a sincere effort	to
making a sketch of	the
making a small hole	in
making a sound like	a
making a special effort	to
making a special study	of
making a special trip	to
making a specialty of	the
making a spectacle of	himself herself yourself
making a speech at	the
making a speech in	the
making a speech on	the
making a speech to	the
making a stand against	the
making a statement about	the
making a statement of	fact
making a statement to	the
making a strenuous effort	to
making a strong bid	for
making a strong case	for
making a strong effort	to
making a study of	the
making a substantial contribution	to
making a success of	the it his
making a supreme effort	to
making a survey of	the
making a thorough examination	of
making a thorough investigation	of
making a thorough study	of
making a total cost	of
making a total for	the
making a total length	of
making a total loss	of
making a total of	about twenty six four thirty eight three five one nine forty seven over twelve nearly two fifty ten more sixty Rs
making a tour of	the inspection
making a tour through	the
making a transition from	the
making a treaty with	the
making a tremendous effort	to
making a trip to	the
making a type I	error
making a type II	error
making a vain attempt	to
making a valiant effort	to
making a valuable contribution	to
making a virtue of	necessity
making a virtue out	of
making a visit to	the
making a voyage to	the
making a wide range	of
making a wide variety	of
making a work of	art
making adequate provision for	the
making all allowance for	the
making all due allowance	for
making all the necessary	arrangements
making allowance for the	difference fact
making an addition to	the
making an agreement with	the a
making an alliance with	the
making an allowance for	the
making an analysis of	the
making an angle a	with
making an angle of	about
making an angle with	the
making an appeal to	the
making an application for	a
making an application to	the
making an appropriation for	the
making an ass of	himself myself
making an assessment of	the
making an attack on	the
making an attack upon	the
making an attempt on	the
making an effort not	to
making an effort to	be get keep understand save speak control do
making an end of	the
making an entry in	the
making an estimate of	the
making an examination of	the
making an example of	the
making an exception to	the
making an exhaustive study	of
making an extrajudicial statement	that
making an honest effort	to
making an impact on	the
making an important contribution	to
making an impression on	the
making an impression upon	the
making an incision in	the
making an incision into	the
making an incision through	the
making an inspection of	the
making an intensive study	of
making an inventory of	the
making an investigation of	the
making an investment in	the
making an issue of	it the
making an issue out	of
making an offering to	the
making an opening in	the
making an opening into	the
making an order under	this
making and breaking of	the affectional
making and breaking the	circuit
making and carrying out	of
making and the use	of
making and unmaking of	the
making any allowance for	the
making any alteration in	the
making any assumptions about	the
making any change in	the
making any changes in	the
making any changes to	the
making any distinction between	the
making any impression on	the
making any mention of	the
making any modification in	the
making any progress at	all
making any provision for	the
making any reference to	the
making any sense at	all
making any special provision	for
making any use of	the it
making anything but gold	and
making appropriations for sundry	civil
making appropriations for the	support
making as a result	of
making as little noise	as
making as much money	as
making as much noise	as
making as well as	the in
making at all levels	of
making at the end	of
making at the expense	of
making at the level	of
making at the local	level
making at the national	level
making at the same	time
making available to me	the
making available to the	public
making best use of	the
making better use of	the existing
making capital out of	the
making certain assumptions about	the
making common cause against	the
making common cause with	the them
making contact with the	ball
making decisions about how	to
making decisions about the	care future
making decisions about their	own
making decisions about what	to
making decisions and solving	problems
making decisions and taking	action
making decisions based on	the
making decisions on behalf	of
making decisions on the	basis
making decisions that affect	the
making direct contact with	the
making due allowance for	the
making due provision for	the
making effective use of	the
making equal angles with	the
making event in the	history
making every allowance for	the
making every effort to	get keep
making every possible effort	to
making extensive use of	the
making eye contact with	the
making false statements to	the
making final preparations for	the
making free use of	the
making frequent trips to	the
making frequent visits to	the
making friends and influencing	people
making from time to	time
making full allowance for	the
making full use of	the their his its all
making fun of him	and
making further provision for	the
making good progress in	the
making good use of	the their his it
making great strides in	the
making greater use of	the
making haste to be	rich
making hay while the	sun
making heavy weather of	it
making her feel as	if
making her feel like	a
making her feel that	she
making her look like	a
making her one of	the
making her the first	woman
making her way across	the
making her way back	to
making her way down	the
making her way in	the
making her way into	the
making her way through	the
making her way to	the
making her way toward	the
making her way up	the
making him a member	of
making him a present	of
making him acquainted with	the
making him an object	of
making him aware of	the
making him feel as	if
making him feel like	a
making him feel that	he
making him look like	a
making him one of	the
making him out to	be
making him responsible for	the
making himself acquainted with	the
making himself at home	in
making himself equal with	God
making himself familiar with	the
making himself known to	his
making himself master of	the
making himself out to	be
making his appeal through	us
making his escape from	the
making his first appearance	in
making his first visit	to
making his living as	a
making his mark in	the
making his or her	own
making his own way	in
making his peace with	the
making his report to	the
making his way across	the
making his way along	the
making his way around	the
making his way back	to
making his way down	the
making his way from	the
making his way in	the
making his way into	the
making his way out	of
making his way through	the a
making his way to	the his a
making his way toward	the
making his way towards	the
making his way up	the
making history available to	all
making important contributions to	the
making in relation to	the
making in the European	Union
making in the United	States
making in the area	of
making in the context	of
making in the direction	of
making in the face	of
making in the field	of
making in the hands	of
making in the history	of
making in the public	sector
making in this important	and
making inquiries as to	the
making inquiry as to	the
making is based on	the
making is likely to	be
making is one of	the
making is the process	of
making it a condition	of that
making it a crime	to for
making it a criminal	offense offence
making it a federal	crime
making it a felony	to
making it a good	choice
making it a kind	of
making it a matter	of
making it a misdemeanor	to for
making it a part	of
making it a penal	offence offense
making it a place	of
making it a point	to of
making it a rule	to
making it a sort	of
making it a subject	of
making it abundantly clear	that
making it accessible to	the
making it all but	impossible
making it all the	more way
making it almost impossible	to for
making it an integral	part
making it an object	of
making it an offence	to
making it an offense	to
making it appear as	if though
making it appear that	the he they
making it appear to	be
making it as easy	as
making it available to	the all
making it by far	the
making it clear that	the he they it she this there I his a we you in if
making it clear to	the them
making it difficult for	the them him her a me us people you any
making it difficult if	not
making it difficult or	impossible
making it difficult to	determine see distinguish identify get obtain assess find compare breathe draw establish keep maintain know separate use predict detect understand interpret tell evaluate achieve discern read make estimate be ascertain
making it easier for	the them you him people a us her
making it easier to	find get see use read understand identify
making it easy for	the them him you me
making it easy to	find see
making it even harder	to for
making it even more	difficult
making it evident that	the
making it extremely difficult	to for
making it hard for	the him me her them
making it hard to	see breathe
making it harder and	harder
making it harder for	the them
making it his business	to
making it illegal for	a
making it impossible for	the him them her me a any us anyone
making it impossible to	see determine get use distinguish tell obtain
making it increasingly difficult	for to
making it known to	the
making it less likely	that to
making it likely that	the
making it look as	if though
making it look like	a the an
making it more accessible	to
making it more and	more
making it more attractive	to
making it more difficult	for to
making it more likely	that to
making it more of	a
making it more or	less
making it more responsive	to
making it more suitable	for
making it more susceptible	to
making it more vulnerable	to
making it much easier	to for
making it much more	difficult
making it nearly impossible	to for
making it necessary for	the him them
making it necessary to	use have
making it next to	impossible
making it on their	own
making it one of	the
making it out to	be
making it part of	the a
making it perfectly clear	that
making it plain that	he the
making it possible for	the them a him me us people her all you more an one many those each
making it possible to	use obtain determine have produce identify see study compare take carry get measure reduce create achieve distinguish do establish bring keep build increase provide detect avoid move
making it quite clear	that
making it relatively easy	to
making it seem as	if though
making it seem like	a
making it seem that	the
making it sound as	if though
making it sound like	a
making it the basis	of
making it the capital	of
making it the center	of
making it the duty	of
making it the interest	of
making it the largest	single
making it the most	common popular expensive important
making it the object	of
making it the second	largest most
making it the subject	of
making it the third	largest
making it their business	to
making it to the	top
making it unlawful for	any
making it unlikely that	the
making it unnecessary for	the
making it up as	he they I we
making it very clear	that
making it very difficult	to for
making it very easy	to
making it very hard	for to
making it virtually impossible	to for
making it what it	is
making its appearance in	the
making its contribution to	the
making its first appearance	in
making its presence felt	in
making its way across	the
making its way along	the
making its way back	to
making its way down	the
making its way from	the
making its way in	the
making its way into	the
making its way through	the a
making its way to	the
making its way toward	the
making its way towards	the
making its way up	the
making itself felt in	the
making known to the	world
making life difficult for	the
making life miserable for	the
making life more difficult	for
making little or no	progress
making love to a	woman girl
making love to another	woman
making love to each	other
making love to her	in and
making love to his	wife
making many books there	is
making maximum use of	the
making me a present	of
making me feel as	if
making me feel like	a I
making me feel that	I
making me look like	a
making me out to	be
making melody in your	heart
making mention of you	in
making money hand over	fist
making money out of	the it
making more effective use	of
making more effectual provision	for
making more efficient use	of
making more money than	he I ever they
making more of an	effort
making more use of	the
making mountains out of	molehills
making my way back	to
making my way through	the
making my way to	the
making myself acquainted with	the
making no account of	the
making no allowance for	the
making no attempt to	hide conceal
making no distinction between	the
making no effort to	hide conceal
making no mention of	the
making no progress at	all
making no provision for	the
making no reference to	the
making no secret of	his the their
making no sense at	all
making no sound on	the
making no use of	the
making of American foreign	policy
making of a false	statement
making of a work	of
making of an adoption	order
making of an application	for
making of an order	under for
making of books there	is
making of butter and	cheese
making of iron and	steel
making of such an	order
making of the English	working
making of the United	States
making of the contract	and of
making of the modern	world
making offerings to the	gods
making on the basis	of
making on the part	of
making one of the	most
making or causing to	be
making our way back	to
making our way through	the
making our way to	the
making out a case	for
making out a list	of
making peace by the	blood
making peace through the	blood
making people aware of	the
making plans for the	future next
making plans to go	to
making plans to return	to
making political capital out	of
making possible the development	of
making possible the production	of
making possible the use	of
making power in the	hands
making power of the	United President
making preparations for the	journey
making procedures around which	actors
making process as well	as
making process in order	to
making proper use of	the
making provision for the	future payment
making quite a name	for
making rapid progress in	the
making reading as effortless	as
making rules for the	government
making sense of the	world data
making sense of what	is
making sense out of	the what
making short work of	the
making significant contributions to	the
making slow but steady	progress
making so much noise	that
making some allowance for	the
making some changes in	the
making some kind of	a
making some of the	most
making some provision for	the
making someone else worse	off
making something out of	nothing
making specific reference to	the
making such a big	deal
making such a fool	of
making such a fuss	about over
making such a mess	of
making such a noise	that
making sure I did	not
making sure he did	not
making sure he was	not
making sure it does	not
making sure no one	was
making sure she did	not
making sure that I	was
making sure that all	the of
making sure that everything	was is
making sure that he	was had
making sure that it	is was does
making sure that no	one
making sure that none	of
making sure that she	was
making sure that the	right child
making sure that there	is are was
making sure that they	are were do have
making sure that you	have are do
making sure there are	no
making sure there was	no
making sure there were	no
making sure they did	not
making sure they do	not
making sure to keep	the
making sure you do	not
making the Sign of	the
making the United States	the a
making the acquaintance of	the a
making the air resound	with
making the arrangements for	the
making the assumption that	the
making the benefits of	our
making the best of	a it the their his things what her our both my an them everything
making the best out	of
making the best possible	use
making the best use	of
making the biggest mistake	of
making the case for	the a
making the case that	the
making the circuit of	the
making the connection between	the
making the decision as	to
making the decision to	go
making the decision whether	to
making the delivery or	transfer
making the distance between	the
making the distinction between	the
making the final decision	on
making the fullest use	of
making the journey to	the
making the least effort	to
making the length of	the
making the life of	the
making the maximum use	of
making the most effective	use
making the most efficient	use
making the most of	the his it their your a what every this its her them our life my these one
making the most out	of
making the necessary adjustments	to
making the necessary arrangements	for
making the necessary changes	in
making the necessary preparations	for
making the personal acquaintance	of
making the pilgrimage to	Mecca
making the point that	the it
making the position of	the
making the public aware	of
making the punishment fit	the
making the rest of	the
making the rich richer	and
making the round of	the
making the rounds in	the
making the rounds of	the his
making the rules whose	infraction
making the same angle	with
making the same kind	of
making the same mistake	as twice again
making the same mistakes	over
making the same sort	of
making the sign of	the
making the slightest attempt	to
making the slightest effort	to
making the sum of	the
making the surface of	the
making the task of	the
making the total cost	of
making the total number	of
making the tour of	the
making the transition from	the a one
making the transition to	the a
making the trip to	the
making the use of	the
making the value of	the
making the whole number	of
making the whole thing	up
making the word of	God
making the work of	the
making the world a	better
making the world safe	for
making the worse appear	the
making their appearance in	the
making their contribution to	the
making their escape from	the
making their first appearance	in
making their own decisions	about and
making their peace with	the
making their presence felt	in
making their way across	the
making their way along	the
making their way back	to
making their way down	the to
making their way from	the
making their way in	the
making their way into	the
making their way out	of
making their way over	the
making their way through	the a
making their way to	the their a
making their way toward	the
making their way towards	the
making their way up	the to
making them a part	of
making them a present	of
making them acquainted with	the
making them all the	more
making them appear to	be
making them available to	the
making them aware of	the their
making them believe that	they the
making them dependent on	the
making them feel at	home
making them feel that	they
making them known to	the
making them less likely	to
making them more accessible	to
making them more and	more
making them more aware	of
making them more difficult	to
making them more likely	to
making them more susceptible	to
making them more vulnerable	to
making them one of	the
making them part of	the a
making them readily available	for
making them responsible for	the
making them see the	light
making them the subject	of
making themselves acquainted with	the
making themselves at home	in
making themselves felt in	the
making themselves masters of	the
making these publications available	to
making this book a	reality
making this information available	to
making this one of	the
making this part of	the
making this world a	better
making thousands of tides	available
making thousands of titles	available
making together the sum	of
making too much of	the it a this
making too much out	of
making two blades of	grass
making under conditions of	uncertainty
making up a list	of
making up a story	about
making up a total	of
making up for all	the
making up for lost	time
making up for the	loss lack
making up her mind	to about
making up his mind	to about that whether what as on
making up his own	mind
making up its mind	to
making up most of	the
making up my mind	to that about
making up our minds	to
making up part of	the
making up the body	of
making up the bulk	of
making up the difference	between
making up the majority	of
making up the rest	of
making up their minds	to about
making up their own	minds
making up your mind	to
making us aware of	the
making us feel that	we
making us what we	are
making use of all	the
making use of his	own
making use of it	in for to as
making use of one	of
making use of some	of
making use of such	a
making use of the	fact same following new information most results concept principle relation data services knowledge opportunity best power term natural existing available above resources
making use of their	own
making use of them	in for as
making voters or jurors	of
making war on each	other
making was one of	the
making way for a	new
making way through the	water
making what is called	a
making what is known	as
making with regard to	the
making with respect to	the
maladaptive and inconsistent with	developmental
maladaptive pattern of substance	use
maladjustments in their balance	of
malaria and other tropical	diseases
malaria in the United	States
male among you shall	be
male and a female	of
male and female He	created
male and female and	the
male and female are	not
male and female aspects	of
male and female at	the
male and female characters	in
male and female children	are in
male and female college	students
male and female created	he He
male and female elements	in
male and female flowers	on are
male and female forms	of
male and female gametes	are
male and female gender	roles
male and female genital	organs
male and female germ	cells
male and female he	created
male and female heads	of
male and female high	school
male and female in	the one a
male and female literacy	rates
male and female members	of
male and female of	the all a this
male and female on	the
male and female organs	of are in
male and female parts	of
male and female patients	with
male and female patterns	of
male and female principles	in of
male and female reproductive	organs systems
male and female roles	in and are
male and female sex	organs hormones cells roles
male and female sexual	organs behavior
male and female students	in
male and female workers	in
male and in the	female
male and the female	are of in
male and the other	female a
male as nature is	to
male as well as	female the
male as with a	woman
male between the ages	of
male citizen of the	United
male citizens between the	ages
male citizens of the	United
male citizens shall bear	to
male differs from the	female
male dominance and female	subordination submission
male domination and female	subordination
male female male female	male
male head of the	household family
male heir to the	throne
male in the United	States
male inhabitants of such	State state
male is smaller than	the
male line of the	house family
male member of his	family
male member of the	family household
male members of a	family
male members of her	family
male members of his	family
male members of the	family household community group church tribe
male members of their	families
male of his body	lawfully
male of the body	of
male of the human	species
male of the same	species
male of the species	is
male of this species	is
male over the age	of
male population between the	ages
male population of the	country United village town
male rather than a	female
male reproductive system consists	of
male than in the	female
male to female ratio	of is
male under the age	of
male with a history	of
males above the age	of
males and females and	the
males and females are	equally not affected
males and females as	well
males and females at	the
males and females between	the
males and females can	be
males and females did	not
males and females differ	in
males and females do	not
males and females for	the
males and females from	the
males and females have	been different
males and females in	the each a their this our
males and females may	be
males and females of	the all a different
males and females on	the
males and females should	be
males and females tend	to
males and females to	be
males and females who	are were
males and one for	females
males are more aggressive	than
males are more likely	to than
males as well as	females
males between the ages	of
males but not for	females
males but not in	females
males capable of bearing	arms
males during the breeding	season
males for the possession	of
males in the United	States
males in the age	group
males in the general	population
males in the labor	force
males in the same	age
males in this age	group
males more often than	females
males of the same	age species
males of their own	species
males on the basis	of
males over the age	of
males tend to be	more
males than females in	the
males than in females	and
males than in the	females
males to females in	the
males under the age	of
males were more likely	to than
males with fragile X	syndrome
malfeasance on the part	of
malformation of the tricuspid	valve
malformations of the central	nervous
malformations of the heart	and
malformations of the nervous	system
malformations of the spinal	cord
malice on the part	of
malice toward none and	charity
malicious writing or writings	against
maliciously and without probable	cause
malignant disease of the	liver stomach
malignant form of the	disease
malignant melanoma of the	skin choroid
malignant peripheral nerve sheath	tumor tumors
malnutrition in the United	States
malpractice on the part	of
malt That lay in	the
malt that lay in	the
maltreatment at the hands	of
mammalian cells in tissue	culture
man Adam became a	living
man Adam was made	a
man Down to a	sunless
man I am going	to
man I am looking	for
man I did not	know like love recognize
man I do not	know love
man I ever heard	of
man I ever knew	who in
man I ever met	with who in
man I ever saw	in
man I fell in	love
man I had come	to
man I had ever	seen met known
man I had met	in
man I had never	seen met
man I had not	seen
man I had seen	in
man I have ever	known met seen
man I met in	the
man I put away	childish
man I saw in	the
man I should like	to
man I thought you	were
man I told you	about
man I used to	be know
man I want to	see
man I wanted to	see
man I was going	to
man I was looking	for
man I was talking	to
man I was telling	you
man I would like	to
man Moses was very	meek
man That is not	passion
man a fish and	you he
man a member of	the
man abide in the	same
man abide not in	me
man about fifty years	of old
man about forty years	of old
man about his own	age
man about thirty years	of old
man above the level	of
man according as he	had purposeth
man according as his	work
man according to his	works deeds work ability ways own several eating
man according to their	works
man accused of a	crime
man across the table	from
man adapts himself to	the
man after His own	heart
man after his own	heart image
man after my own	heart
man after the fall	of
man ahead of his	time
man all over the	world
man all tattered and	torn
man allows himself to	be
man alone is capable	of
man also died and	was
man also on the	things
man among them who	would
man among you seem	to
man among you seemeth	to
man and I do	not
man and a black	woman man
man and a friend	of
man and a good	citizen man friend soldier Christian
man and a lover	of
man and a man	of
man and a member	of
man and a poor	man
man and a white	woman man
man and a woman	who in are were to is and can of with have together as on that could from may had came for at was should standing
man and a young	woman girl boy
man and all his	works
man and all other	animals
man and an old	woman
