Y M C	A
You did a	good great fine wonderful lot very nice
You did all	you right that this the
You did an	excellent
You did everything	you
You did have	a
You did it	for to on again all because in yourself
You did just	fine
You did me	a the
You did more	than
You did not	have know tell see think say want even get do come ask need hear give answer go like really mention make expect take seem find mean kill let look call believe bring choose leave notice just care understand feel put use happen eat talk try write mind hurt love forget miss send lose read listen sleep stop pay show buy speak deserve learn stay realize keep recognize meet trust finish wait actually run exactly dare help turn always suppose touch used catch cause intend fail marry receive hit walk change fall enter play follow waste wish win break bother act by die shoot pick wake work invite live steal start return throw remember consider drink move ought enjoy create sound allow sign
You did nothing	wrong
You did quite	right
You did right	to
You did say	you that
You did tell	me
You did that	on to
You did the	right best same
You did this	to
You did very	well
You did well	to in
You did what	you was
You did your	best job duty
You discover that	the
You do a	lot good
You do all	the
You do as	you I
You do believe	me that in
You do good	work
You do have	a to the some an
You do it	by for because all with in so to
You do know	that what how the about who
You do like	to
You do look	a like
You do love	me him
You do me	too wrong great a injustice an justice the
You do need	to a
You do not	have know want need think understand mean look even like believe seem get see say mind really care remember suppose love feel go expect sound do give find make just belong take tell realize hear deserve trust always owe talk wish ask necessarily happen come speak live use ever call own pay let eat play often actually answer work imagine recognize put agree usually appear approve forget listen read leave drink dare try worry miss consider intend learn write deny mention yet keep smoke hate fool quite notice buy object catch stop act wear wanna run stand lose scare change appreciate become show seriously strike realise exist walk meet allow waste doubt win blame start hold choose fear count sleep exactly spend plan require move treat recall wait kill turn sit fight accept bring help follow throw touch fit bother suspect normally mess build stay respect send sell carry comprehend got frighten argue enjoy lie reckon pretend set begin share create question shoot honestly smell regret in drive propose die still pick teach then receive desire control pull grow hit by laugh judge suffer half fall recognise simply watch claim sing now fancy perceive never much either enter break gain
You do nothing	but
You do realize	that
You do remember	that
You do right	to
You do see	that
You do seem	to
You do so	by
You do solemnly	swear
You do that	by and
You do the	same best math work
You do this	by with in to for because using
You do too	much
You do understand	that
You do very	well
You do want	to me
You do well	to
You do what	you I
You do whatever	you
You do your	best job work part
You doing all	right
You dont have	to
You dont know	what
You drink too	much
You drive a	hard
You drive me	crazy to
You eat too	much
You either have	to it
You end up	with
You enter into	a
You enter through	a
You even have	a
You ever been	to in
You ever hear	of
You ever heard	of
You ever see	a
You ever seen	a
You ever think	about of
You evidently do	not
You expect him	to
You expect me	to
You expect them	to
You expect to	be see
You expect too	much
You expect us	to
You expected me	to
You fall in	love
You feel a	little
You feel all	right
You feel as	if though
You feel better	now
You feel good	about
You feel it	in
You feel like	you a
You feel so	good
You feel sorry	for
You feel that	you the your it he if way this there
You feel the	same
You feel you	are have can
You feeling all	right
You fell in	love
You felt as	if
You felt like	you
You felt that	you
You felt you	were
You figure it	out
You figured it	out
You fill in	the
You fill me	with
You find it	in difficult hard
You find out	what that how about
You find that	the you
You find the	same
You find them	in
You find yourself	in
You first have	to
You first need	to
You for giving	me
You for loving	me
You for the	gift
You force me	to
You forced me	to
You forget that	I you the we it
You forgot to	mention tell
You from around	here
You furnish the	pictures
You gave her	a
You gave him	a the
You gave it	to
You gave me	a the your no my this quite an to such that
You gave them	to
You gave up	your
You gave us	a the
You gave your	word
You generally do	not
You get a	lot good little chance sense better new feeling
You get all	the
You get away	from
You get back	to
You get in	the
You get into	the a
You get it	from
You get my	drift
You get on	the with
You get out	of
You get rid	of
You get some	rest sleep
You get the	idea picture feeling same point impression best hell
You get tired	of
You get to	know the see be choose a go do decide keep
You get up	and in
You get used	to
You get what	you I
You give him	a the
You give it	to a
You give me	a the your no that too
You give them	a something the
You give us	the a
You go ahead	and with
You go along	with
You go and	get see tell have ask do
You go back	to and
You go down	to and there the
You go home	and now
You go in	and there the
You go into	the a
You go on	and to ahead home back with in up now down
You go out	and to there of with in
You go over	to there
You go right	ahead on
You go that	way
You go there	and
You go through	the a
You go to	the a bed your hell sleep school work church see him
You go too	far fast
You go up	to and there
You go with	him me the
You go your	way
You going to	be tell the let take get do make have stay give
You gonna be	okay
You gonna tell	me
You got a	problem lot good better deal name minute point job nice big little gun real new letter
You got all	the that
You got any	idea more ideas money other
You got anything	to
You got it	all right wrong in from
You got me	into there out
You got my	message letter note
You got no	right business call
You got nothing	to
You got out	of
You got plenty	of
You got rid	of
You got something	to
You got that	right
You got the	wrong money right job feeling
You got to	be get have go know do take keep give learn make come remember watch understand see tell help look let put think work
You got used	to
You got what	you
You got yourself	a into
You gotta be	kidding
You gotta have	a
You gotta help	me
You grew up	in with
You guys are	not the going so all really a just
You guys can	not
You guys did	not
You guys do	not
You guys go	ahead
You guys have	been a to
You guys need	to
You guys want	to
You had a	good lot bad great right very chance little long choice hard
You had all	the
You had best	go
You had better	go not take come get be tell have let leave ask stay give keep make look see put send wait do say write stop try sit read call think start hurry believe watch return find bring
You had but	to
You had every	right
You had it	all in
You had me	worried
You had much	better
You had no	right business idea choice way reason
You had not	been ought heard the seen thought
You had nothing	to
You had only	to
You had plenty	of
You had quite	a
You had something	to
You had such	a
You had the	feeling right same
You had to	be have go know get do take make keep look give see learn work come pay watch put wait find hand walk admire use think live say fight stand tell stay ask leave
You had told	me
You had your	chance own
You hang on	to
You happen to	be know
You hardly ever	see
You hardly know	me
You hath he	quickened
You have a	good right lot very great choice nice beautiful point fine problem new wonderful way long better chance strong lovely little few big son wife responsibility job visitor family friend real number daughter large sense certain bad pretty duty gift perfect child plan couple special tendency strange whole heart feeling reputation brother high kind hard car different most message husband natural name talent man letter small place sister mind life home clear fever wide much house question mother phone unique remarkable baby gun noble date list full deal key knack history thousand look father funny quick rare call legal secret copy tremendous reason splendid serious greater short room charming keen head
You have absolutely	no
You have accepted	the
You have access	to
You have admitted	that
You have agreed	to
You have all	the heard been seen of these my your read that
You have already	seen learned been done heard made had read taken used given met said told studied begun
You have also	learned seen been heard
You have always	been had known said
You have an	opportunity excellent idea appointment obligation important interesting answer hour eye advantage
You have any	idea
You have arrived	at
You have as	much
You have asked	me for a the
You have at	least your
You have attempted	to
You have beautiful	hair
You have become	a the so
You have been	a asked very in so told given the to here my working with assigned warned good chosen called hired most taught selected at doing kind too faithful an away there talking reading brought through on long appointed able ill out more invited looking listening made using pleased trying sent making living gone deceived thinking informed misinformed drinking born well engaged busy such studying guilty telling introduced crying dreaming our much waiting found having one playing like taking going asleep sitting married trained all of blessed charged as seen
You have before	you
You have begun	to
You have betrayed	me
You have both	been
You have broken	the your my
You have brought	me us the a it this your
You have built	a
You have but	to one a
You have called	me us
You have caused	me
You have ceased	to
You have changed	your the
You have chosen	to a the your me
You have come	to here from back a at in into for too out
You have committed	a
You have complete	control
You have completed	the your
You have confidence	in
You have control	over
You have convinced	me
You have created	a the
You have crossed	the
You have dared	to
You have deceived	me
You have decided	to that
You have destroyed	the
You have determined	that
You have developed	a
You have discovered	that the
You have done	well a your me nothing it so all very the this what more enough everything much that wrong for right something an us quite no good
You have doubtless	heard seen
You have earned	the it
You have enough	to money
You have entered	the into
You have established	a
You have ever	been
You have every	right reason
You have everything	you to
You have failed	to
You have faith	in
You have fallen	into
You have felt	the
You have fifteen	minutes
You have finished	your
You have five	minutes
You have followed	the
You have for	me
You have forced	me
You have forgiven	me
You have forgotten	the that your to me
You have formed	a
You have found	the a that out it your me
You have friends	in
You have gained	a
You have given	me us the your a him up them to Me it yourself
You have gone	to through too
You have good	reason taste
You have got	to a the your it me
You have grown	up
You have guessed	it right
You have had	a your the no enough an some to many it more my time
You have heard	of the that it me what about how my from a all this him his nothing them
You have helped	me us to
You have here	a the
You have hit	it the
You have hurt	me
You have in	your the this a
You have insulted	me
You have it	in all now
You have just	been seen completed come heard learned read received finished made said created told had arrived taken given
You have kept	your me the
You have killed	my the him me
You have known	me him the
You have learned	that to how the about a from in
You have led	me
You have left	me the your
You have less	than
You have let	me
You have lied	to
You have listened	to
You have lived	in with a
You have long	been
You have looked	at
You have lost	your the a all
You have lots	of
You have loved	me
You have made	a me the your it us an my him yourself up them this no some known her all
You have managed	to
You have many	friends options
You have me	at there
You have mentioned	that the
You have met	with the him
You have missed	the
You have misunderstood	me
You have more	than to time
You have much	to more
You have my	word permission sympathy best promise full blessing number deepest thanks leave
You have need	of
You have neither	the
You have never	been seen heard had told done known loved met given yet asked said
You have no	idea right doubt choice reason business need more other time way cause power control conception proof authority one money sense oath objection rights notion children place heart chance faith fear respect occasion friends longer such real evidence excuse family claim knowledge intention desire interest experience say
You have none	of
You have not	been seen got told heard even had yet changed done the said forgotten answered a given any asked lost met made only come eaten mentioned read taken lived found spoken really gone finished thought much learned understood known written tried to looked touched left talked called paid brought slept let chosen noticed shown missed kept an failed put gotten sent anything enough always explained received used time exactly won so quite killed worked listened hurt begun offended stopped spent ever lied proved bought
You have nothing	to more but else in
You have noticed	that
You have now	completed been seen learned created a the heard reached to made become had finished an
You have observed	that
You have of	course
You have often	heard seen told said been
You have one	of minute more hour
You have only	to one a two got yourself been the just
You have opened	the
You have passed	the through
You have performed	a
You have perhaps	heard
You have permission	to
You have placed	me
You have played	the
You have plenty	of to
You have pointed	out
You have probably	heard seen noticed been already read had never experienced
You have promised	to me
You have proved	yourself that your
You have put	me your the a it on
You have quite	a
You have raised	the
You have reached	the a
You have read	the about in of that it my how this
You have reason	to
You have received	a the
You have recently	been
You have referred	to
You have refused	to
You have returned	to
You have robbed	me
You have ruined	my me
You have said	that it so enough nothing you the in to
You have saved	my me the us
You have seen	the that how him a it what me her my them this in many some your all and his nothing our for these enough
You have selected	the a
You have sent	me for
You have served	me
You have set	up your the a me
You have several	options choices
You have shown	me that us yourself your the a
You have so	much many little often
You have some	of very nerve
You have something	to in on that for
You have spent	your a
You have spoken	of to well the
You have stated	that
You have stolen	my
You have studied	the
You have succeeded	in
You have successfully	completed
You have such	a an
You have suffered	much a
You have sworn	to
You have symptoms	of
You have taken	the a my away me your it from up
You have talked	about to
You have taught	me us
You have ten	minutes
You have the	right power option same ability most opportunity choice advantage best following wrong words money whole feeling gift chance key freedom look responsibility potential capacity authority nerve courage makings strength floor time means word rest privilege greatest
You have this	day
You have thought	of
You have three	choices options minutes
You have time	to for
You have to	be have go get know do understand make take keep learn remember give look work find tell think see believe come decide pay admit let use put ask help stay stop start live realize watch say leave wait try trust choose eat accept show consider listen talk read deal move fight write feel change love figure play set promise create walk face wonder want stand call buy bring pick build follow turn develop prove really hold spend sit become meet imagine run earn admire respect wear answer teach study open speak act explain check hear plan add begin cut recognize hand convince treat allow forgive break provide protect sign practice determine like push sell pull expect assume pass prepare draw drive save hit carry train fill catch kill select reach bear dig experience grow rely agree forget concentrate finish stick apply send establish balance maintain weigh die win just climb enter focus feed judge drink adjust identify care guess share step specify cross throw search define worry sleep marry wake
You have told	me us the
You have too	much many
You have treated	me
You have tried	to
You have two	choices options ways minutes children
You have undoubtedly	heard
You have used	the
You have very	little
You have what	you it
You have won	the a
You have work	to
You have worked	hard with for
You have written	a to me that
You have yet	to
You have your	own choice orders work mother life whole father
You hear a	lot
You hear about	the
You hear it	in
You hear people	say
You hear the	sound
You hear what	I he
You heard about	the that
You heard her	say
You heard him	say
You heard me	say right
You heard the	man lady
You heard what	I he the she happened
You helped me	to
You hired me	to
You hit the	nail
You hold in	your
You hold on	to
You hold your	tongue breath
You hurt my	feelings
You imagine that	you
You in My	Dreams
You in a	hurry
You in the	Closet Morning
You inform me	that
You intended to	harm
You invited me	to
You is not	got gonna going seen no never a goin the been heard even in so nothing getting nothin had done my supposed afraid
You just are	not
You just can	not
You just caught	me
You just concentrate	on
You just could	not
You just did	not it
You just do	not it what your
You just gave	me
You just give	me
You just go	on ahead to and
You just got	to here a
You just had	to a
You just happen	to
You just happened	to
You just have	to not a
You just keep	your on
You just know	that
You just leave	it
You just let	me
You just listen	to
You just look	at
You just made	a
You just make	sure
You just might	be
You just missed	him
You just need	to a
You just never	know knew
You just ought	to
You just put	your
You just said	you that it
You just sit	there down
You just sort	of
You just stay	here
You just take	care it a
You just tell	me
You just think	you
You just told	me
You just try	to it
You just wait	and till until
You just want	to me
You just wanted	to
You just watch	me
You just were	not
You just will	not
You just worry	about
You just would	not
You keep an	eye
You keep away	from
You keep out	of
You keep saying	that
You keep talking	about
You keep telling	me
You keep trying	to
You keep your	mouth eyes hands
You killed my	father brother
You knew I	was would had
You knew about	this the it that
You knew all	along the about
You knew exactly	what
You knew from	the
You knew he	was
You knew him	well
You knew how	to
You knew it	was would all
You knew my	father
You knew nothing	of
You knew she	was
You knew that	I the you he when
You knew there	was
You knew they	were
You knew this	was
You knew very	well
You knew we	were
You knew what	you I was
You knew when	you
You knew where	you
You knew you	were had could
You know I	do can have am love would never was will did always hate could want had like told think must got only really used is need should shall mean know care said went just feel believe wanted
You know a	lot great man good little
You know about	the that it my this him them her
You know all	about the that this those of my these things
You know already	that
You know also	that
You know and	I
You know anything	about
You know as	well much
You know best	what
You know better	than
You know by	now
You know damn	well
You know damned	well
You know darn	well
You know each	other
You know enough	of about
You know everything	about
You know exactly	what how where
You know for	a
You know from	the your experience
You know full	well
You know good	and
You know he	is was has will does did would can had never
You know her	well better
You know him	well better
You know his	name
You know how	it I to much he the you they she many we that hard these people long a important your things those some little this difficult fond often my women kids sometimes when men good bad old in well far very one easy anxious busy sensitive easily dangerous
You know if	you I
You know in	your the
You know it	is was will and would as has does all well can makes takes
You know just	as what how
You know me	well better too and so as
You know more	about than
You know most	of
You know my	name father opinion mother views heart feelings wife brother husband methods friend sentiments sister son
You know not	what how the
You know nothing	about of at
You know now	that what
You know of	course the my
You know one	of
You know perfectly	well
You know quite	well
You know she	is was has will does would can
You know so	much
You know some	of
You know something	about of I else
You know that	I the you it we he in there if a your as is this when my they all she for our one old no these at what was some every to those little and many better that after God by from well even an yourself guy people his man nothing very feeling big on with story now already song
You know the	way old rest kind story one answer rules sort type drill place saying man ones truth feeling reason law difference routine people name proverb situation first rule only whole word commandments history house world song guy result best doctor little number great country thing words score value other last penalty trouble worst meaning expression
You know them	all
You know there	is are was were
You know these	people things
You know they	are have do will say were can would
You know this	is man guy place because
You know too	much well
You know very	well little
You know we	have are can do were had all could will must did never always
You know well	enough that what how the
You know what	I you they it the that a he happened we to this she is my happens your else would kind will an these has those people was our really his time makes women sort
You know when	you I the we a
You know where	I the to you it he that we they she my your
You know which	one
You know who	I you he it that the they she this is did we
You know whom	I
You know why	I you we he they the it she
You know with	what
You know you	can are have do want did will should were could would must need love never said always like really got promised told
You know your	own father way mother child
You know yourself	that how
You laugh at	me the
You laughed at	me
You lead the	way
You learn a	lot
You learn about	the
You learn how	to
You learn more	about
You learn that	the
You learn to	be live
You learned about	the
You learned how	to
You learned in	Chapter
You learned that	the
You leave her	alone
You leave him	alone
You leave it	to
You leave me	no alone
You leave that	to
You led me	to
You left out	the
You let go	of
You let her	go
You let him	go
You let me	know go worry down alone
You lied to	me us
You like it	here
You like to	be think have see play
You listen to	me the your
You little know	what the
You live around	here
You live in	a the this an
You live on	the
You live with	your
You live your	life
You lived in	the
You look a	little bit lot
You look after	the your
You look all	right
You look around	and
You look as	if though
You look at	the me your it a them him her this that
You look better	than
You look down	at on and
You look exactly	like
You look fine	to
You look for	the a
You look forward	to
You look good	in enough
You look great	in
You look in	the vain
You look into	the
You look just	like
You look kind	of
You look like	a you the hell an shit your one someone something death my her him it
You look more	like
You look much	better
You look out	for
You look pretty	good
You look ready	to
You look so	much tired beautiful pretty pale good different sad young nice
You look sort	of
You look the	same
You look tired	and
You look to	me the be
You look up	and at
You look very	nice well pretty tired pale beautiful much handsome
You look worn	out
You looked as	if
You looked at	me the
You looked like	you a
You looking for	a
You love me	and
You made a	mistake good great promise big fool
You made good	time
You made him	a
You made it	clear sound
You made love	to
You made me	feel a do think look love
You made that	up
You made the	right
You made up	your
You made your	point bed own choice
You make a	good mistake great lot very
You make fun	of
You make him	sound
You make it	sound all very so seem
You make me	feel sick sound laugh so think want very happy tired nervous angry ashamed a
You make such	a
You make sure	you that
You make the	call decision best
You make too	much
You make up	your
You make your	own way
You mark my	words
You may add	a to
You may agree	with
You may already	have be know
You may also	want be find have wish need use see complete choose notice feel consider contact get add ask call include hear decide experience make like write take discover try specify encounter remember know recall enter come receive request
You may apply	for
You may argue	that
You may as	well
You may ask	why me the what how yourself for your
You may assume	that the
You may be	able sure surprised right a wondering asked the interested thinking tempted assured in quite familiar very more certain asking required one an aware called lucky as given saying told so feeling too afraid eligible on pleasantly better amazed at seated looking working concerned doing prompted using disappointed inclined trying shocked pleased angry getting fortunate glad forced wrong ready willing going having happy well perfectly offered reading unable my experiencing entitled used expected mistaken proud curious just held convinced charged taking making excused
You may become	a
You may begin	to with by
You may believe	that me it I
You may belong	to
You may bring	your in
You may buy	a
You may call	me it this the them him a
You may cancel	at
You may care	to
You may change	the your
You may choose	to a the any from not your one
You may come	to across in and up with back
You may conclude	that
You may consider	the yourself this it that
You may contact	the
You may continue	to
You may copy	and
You may count	on upon
You may create	a
You may decide	to that you
You may deduct	the
You may depend	upon on
You may develop	a
You may disagree	with
You may discover	that a
You may dispose	of
You may do	this as so what it that the anything your
You may easily	imagine conceive guess suppose believe
You may elect	to
You may encounter	a
You may end	up
You may enter	the
You may even	be want have find feel get wish see need decide think discover
You may expect	to me
You may experience	a some
You may fear	that
You may feel	that a like you as the more it some guilty
You may find	that it yourself the a this some you your them out an these one in him other
You may fire	when
You may follow	the
You may form	some
You may get	a the some an your to it
You may give	them me the a your it him
You may go	to now on back and in home through into out with down
You may guess	how what that
You may have	to noticed a heard been seen the some had an already read your thought it observed more found wondered one no trouble experienced all forgotten done learned felt other noted difficulty made come even also used many them met something known only just guessed my lost several as tried taken discovered this decided gotten received two given never saved any
You may hear	the a
You may if	you
You may imagine	how that the what my I
You may judge	of how from what by
You may just	as be have
You may keep	the your it
You may kill	me
You may kiss	the me
You may know	that the a it what of him how them
You may laugh	at
You may learn	something
You may leave	the now us your me
You may like	to the it
You may live	in to
You may look	at for back
You may lose	your a
You may make	a the your it any
You may meet	with
You may need	to a it more the some an help this them
You may never	have be see know get need
You may no	longer
You may not	be have know want like believe think need even see realize get always agree feel use find understand remember copy care reverse deduct make notice take wish modify go recognize do hear live come
You may note	that
You may notice	that a the some
You may now	be go
You may object	that
You may observe	that
You may obtain	a
You may of	course
You may omit	the
You may only	have be
You may open	your
You may or	may
You may order	this
You may perhaps	have think be
You may pick	up
You may possibly	have
You may prefer	to a the
You may put	it the your a
You may qualify	for
You may quote	me
You may read	the it in this
You may realize	that
You may recall	that from the
You may receive	a
You may recognize	the this
You may recollect	that
You may refer	to
You may refuse	to
You may rely	upon on
You may remember	that the from how I a my what
You may request	a
You may rest	assured
You may return	to
You may run	into
You may say	that what to it you I so the this anything
You may search	the
You may see	the a it them this him that some in her by an one how your
You may select	a the
You may send	me the
You may set	up your the
You may sit	down
You may smile	at
You may speak	to of freely
You may start	with to
You may stay	here
You may step	down
You may still	be have see
You may succeed	in
You may suppose	that I
You may take	it the a your my this that me
You may talk	about of to as
You may tell	me him the your them her
You may tend	to
You may thank	your
You may then	be
You may think	that you it of I this me the so what your there how we
You may transfer	the
You may trust	me
You may try	to
You may use	the a any this your either it these one an them my
You may very	well
You may want	to a the your
You may well	be ask say have find imagine believe suppose wonder think call
You may wind	up
You may wish	to
You may wonder	why how what if whether at about
You may work	with in
You may worry	that
You may write	to a the
You mean I	can have should do am could was
You mean a	lot
You mean about	the
You mean because	of I
You mean he	was has is did does
You mean if	I you
You mean in	the
You mean it	was is
You mean like	a the this
You mean one	of
You mean other	than
You mean she	was is has
You mean so	much
You mean that	you I the he it she if we they there your
You mean the	one man old way
You mean there	are is was
You mean they	are were do have
You mean this	is
You mean to	say tell go be
You mean we	can have are should
You mean when	you I
You mean you	do have want did can are will were think would really never had know could actually just and got knew
You men are	all
You mentioned earlier	that
You mentioned in	your
You mentioned something	about
You mentioned that	you the
You merely have	to
You met him	at
You might almost	say
You might also	want consider try be have find ask use need like see wish check notice look think include choose get take say
You might argue	that
You might as	well
You might ask	the yourself why your students them him how a what
You might assume	that
You might at	least
You might be	able surprised wondering interested a right tempted thinking the in asked asking better more saying lucky one an
You might begin	by with to your
You might call	it this them him the
You might care	to
You might change	your
You might choose	to a
You might come	up
You might conclude	that
You might consider	the using a
You might create	a
You might decide	to that
You might discover	that
You might do	this worse it
You might end	up
You might even	be want have say find get consider try see think ask make call
You might expect	that the to
You might feel	that a like
You might find	it that a yourself the this some out you something
You might get	a the some hurt your lucky to
You might give	me
You might go	to on
You might guess	that
You might have	to a been thought noticed seen heard told had the known said done some an spared made given gone asked found taken guessed come killed expected students saved got let your read one written something warned
You might imagine	that
You might just	as be
You might know	that
You might learn	something
You might let	me
You might like	to it
You might look	at for
You might lose	your
You might make	a it the
You might need	to a it
You might not	be have think want like know believe even get see need find
You might note	that
You might notice	that
You might pick	up
You might point	out
You might prefer	to
You might put	it
You might recall	that from
You might remember	that
You might run	into
You might say	that I it something the he we to they so this she you
You might see	a the
You might start	with by
You might suggest	that
You might suppose	that
You might take	a the
You might talk	to
You might tell	me him
You might think	that of it you this I about the he so they a
You might try	to the a it this
You might use	this a the it
You might very	well
You might want	to a
You might well	ask be have
You might wish	to
You might wonder	why how what if
You might write	a to
You mind if	I we
You mind telling	me
You mind your	own
You miss the	point
You must accept	the that
You must acknowledge	that
You must act	as
You must add	the
You must admit	that it
You must agree	that to
You must all	be come have
You must allow	me for the that
You must also	be have know consider remember make take understand decide learn keep specify pay provide use
You must always	be remember keep have
You must answer	the
You must ask	yourself the him for your
You must assume	that
You must at	least
You must be	a very able careful the tired joking aware prepared in mad mistaken hungry crazy sure willing kidding out patient born ready exhausted so an more on at proud feeling one getting strong sensible quite thinking my pretty as brave content good starving well happy wondering right cold familiar really doing certain new satisfied starved from logged going here quiet there having glad thirsty absolutely dreaming wrong alert honest quick all extremely awfully completely freezing weary famished pleased consistent like insane looking terribly some sick clear Miss kind either convinced free frozen made firm cautious making off
You must bear	in with
You must become	a
You must begin	to by with
You must believe	me that in it
You must beware	of
You must bring	your the him
You must build	a
You must call	me the
You must change	your the
You must choose	the between a one
You must come	to and with back in again down up out over home here at
You must complete	the this
You must comply	with
You must concentrate	on
You must confess	that
You must consider	the that
You must continue	to
You must create	a the
You must deal	with
You must decide	whether what for which how if on
You must define	the
You must determine	the whether what
You must develop	a the
You must dine	with
You must distinguish	between
You must do	it this as the something what your that so all everything more a nothing me
You must enclose	a
You must endeavour	to
You must ensure	that
You must enter	a the your
You must excuse	me my the us this
You must expect	to
You must explain	to
You must face	the
You must feel	that the it very
You must file	a
You must find	a out the it your some
You must first	be
You must follow	the me
You must forgive	me my us him
You must get	a out the up your to rid some away it me well him into back over used them
You must give	me up the him it your us them a her yourself
You must go	to back and on now with away home through out into down in at by there up
You must guard	against
You must hate	me
You must have	a been had seen heard the some known noticed an thought read done your something made felt got faith observed come it found at gone received patience loved taken met misunderstood forgotten one gotten worked no learned lost left given more suffered really missed good spent this guessed passed wondered put enough that told realized all plenty said me
You must hear	me
You must help	me us him
You must hold	the your
You must identify	the
You must include	the a
You must install	the
You must introduce	me
You must judge	for
You must keep	your the in a it up this on them
You must know	that the what how I it your then this something where him a who all by about you my why
You must learn	to how the that not
You must leave	the this me your now at it here
You must let	me us the him your go
You must lie	down
You must listen	to
You must live	in
You must look	at for to after out upon
You must love	your the me him
You must make	a sure your the up it an him yourself allowances them haste this me certain her
You must meet	the my him
You must miss	him her
You must never	forget be let tell do think say go
You must no	longer
You must not	be think let go say do forget take expect circulate talk mind worry tell ask blame give suppose look get speak have leave make allow come believe imagine feel only try eat stay judge cry call touch use lose put laugh even fail keep miss stop die kill see ever pay run wait move fight play listen lie write fear wonder consider confuse know become misunderstand show read waste refuse hold hurt mention sit neglect
You must now	be
You must obey	the
You must of	course
You must often	have
You must open	the
You must pardon	me my
You must pay	the for attention a me
You must permit	me
You must place	the
You must pray	for to
You must prepare	yourself for
You must promise	me to not
You must prove	that
You must provide	a the
You must put	your it the on a yourself
You must read	the it this
You must realise	that
You must realize	that
You must really	be
You must recognize	that
You must recollect	that
You must rely	on
You must remain	here
You must remember	that the to this I it how what you
You must remove	the
You must respect	the
You must rest	now
You must return	to
You must save	the
You must say	that to
You must see	that the it to him how a this her what them my
You must select	the a
You must send	me
You must set	the up
You must show	that me your the
You must sit	down
You must speak	to
You must specify	the a
You must start	with
You must stay	here with in and
You must still	be
You must stop	this
You must strive	to
You must study	the
You must submit	to
You must supply	the
You must surely	have be
You must take	care the it a me your this my into him them some good her that off great
You must talk	to
You must teach	me
You must tell	me him us the them her your
You must therefore	be
You must think	I of me about that it you we
You must treat	the
You must trust	me
You must try	to and not
You must understand	that the this what how
You must use	the a your this
You must wait	until for till a
You must want	to
You must work	hard with out
You must write	to a me and
You name it	and
You need a	good new lot little man doctor rest break way place drink ride change strong plan woman few special haircut vacation certain
You need all	the
You need any	help
You need at	least
You need be	under
You need have	no
You need it	to more
You need lots	of
You need me	to
You need money	to
You need more	than
You need my	help
You need never	be fear
You need no	longer
You need not	be worry fear have tell go think look trouble say bother wait take come feel do make try ask give answer mind get send laugh speak use even talk concern doubt stay pay write put apologize expect know to explain mention hesitate hurry read call pretend believe remind keep bring thank see shout
You need only	to look a one
You need say	no
You need some	help rest time
You need somebody	to
You need someone	to who
You need something	to
You need the	right money
You need time	to
You need to	be know get have make understand find take go do learn keep use think see decide create look consider talk ask give tell work set add come rest determine start put remember eat develop change check stay let stop read show call ensure identify specify provide leave write select feel move choose pay plan build listen establish become help realize spend figure watch recognize relax define hear enter prepare focus install bring include sit try explain configure sleep practice follow turn say run buy open study believe allow trust examine meet accept apply pick save perform speak protect begin assess evaluate maintain calm send fill concentrate place drink discuss communicate remove answer review cut replace
You need your	rest sleep
You needed to	be
You never answered	my
You never asked	me
You never can	tell be
You never cease	to
You never come	to
You never could	tell have
You never did	tell anything say
You never do	anything
You never gave	me
You never get	a to
You never give	up me
You never go	to
You never had	a to any it the
You never have	to been a
You never hear	of
You never heard	of such me
You never knew	what when who where how me
You never know	what when who where how with if about whether which until the
You never let	me
You never listen	to
You never loved	me
You never made	a
You never mentioned	it that
You never need	to
You never really	know
You never said	anything a you that
You never saw	such a anything him the me her so any it
You never say	anything
You never see	a the them him
You never seem	to
You never seemed	to
You never should	have
You never talk	about to
You never tell	me
You never think	of about
You never thought	of
You never told	me us
You never tried	to
You never used	to
You never want	to
You never wanted	to
You never went	to
You never will	be
You never would	have
You no doubt	have know
You no longer	have need
You not only	have
You note that	the
You notice that	the
You now have	a the two an to all your three
You now know	that how the what
You now need	to
You now see	the
You now want	to
You observe that	the
You obviously can	not
You obviously did	not
You obviously do	not
You obviously have	not a
You of all	people
You of course	know
You of little	faith
You often have	to
You often need	to
You on the	other
You once asked	me
You once said	that you
You once told	me
You only get	one
You only had	to
You only have	to I one a
You only live	once
You only need	to a one
You only say	that
You only see	the
You only think	you
You only want	to
You open the	door
You open your	eyes mouth
You opened the	door
You or a	family
You ordered me	to
You ought also	to
You ought never	to
You ought not	to
You ought rather	to
You ought to	be have know see go get do take try come hear give make write read tell think keep feel put remember look let thank understand marry consider talk find learn ask stay live leave say wear meet send eat call stop pay
You owe it	to
You owe me	a nothing that no one an for two
You owe this	to
You pass through	the a
You pay attention	to
You pay for	the
You pay only	for
You pay your	money
You pays your	money
You people are	not
You people do	not
You perceive that	the I
You perhaps do	not
You pick it	up
You pick up	the a your
You picked the	wrong
You point out	that
You poor little	thing
You prepare a	table
You press the	button
You pretend to	be
You pride yourself	on
You probably already	know have
You probably are	not
You probably can	not
You probably could	not
You probably did	not
You probably do	not
You probably have	a not heard some seen to noticed
You probably know	that the what more how
You probably need	to
You probably noticed	that
You probably remember	the that
You probably should	not
You probably think	I that
You probably want	to
You probably will	not be have want
You probably would	not have
You profess to	be
You promise not	to
You promise you	will
You promised me	you a that to
You promised not	to
You promised that	you
